claim_id,worker_id,policy_id,plan_tier,weekly_premium,activation_date,last_active_date,policy_status,eligibility_flag,events_used,events_remaining,renewal_count,trigger_type,trigger_level,trigger_value,claim_timestamp,claim_auto_created,claim_valid_flag,payout_status,payout_timestamp,payout_amount,income_loss,gps_lat,gps_lng,cell_tower_id,gps_tower_delta,accelerometer_variance,claim_response_time_sec,app_interaction_count,fraud_score,fraud_flag,fraud_reason
90001,1,20001,Standard,79,2024-01-01,2024-07-18,paused,0,1,29,2,aqi,L3,457.0,2024-07-11 01:22:00,1,1,pending,,0.0,587.6,28.646082,77.339274,TW3385,0.9,6.638,1060.3,23,0.085,0,normal
90002,1,20001,Standard,79,2024-01-01,2024-07-18,paused,0,2,28,2,rainfall,L2,5.7,2024-05-25 12:55:00,0,1,no_claim,,0.0,122.8,28.487599,77.2419,TW9326,63.5,12.728,282.3,37,0.0835,0,normal
90003,1,20001,Standard,79,2024-01-01,2024-07-18,paused,0,3,27,2,aqi,L3,401.0,2024-04-10 04:33:00,1,1,pending,,0.0,488.0,28.553478,77.091368,TW8234,77.5,3.984,924.4,1,0.425,0,abnormal_behavior
90004,1,20001,Standard,79,2024-01-01,2024-07-18,paused,0,4,26,2,strike,L1,1.0,2024-05-24 02:24:00,0,1,paid,2024-05-28 22:49:00,560.5,81.1,28.659369,77.366522,TW1570,65.5,41.744,967.2,10,0.0122,0,normal
90005,1,20001,Standard,79,2024-01-01,2024-07-18,paused,0,5,25,2,strike,L1,1.0,2024-01-25 18:57:00,0,1,pending,,0.0,214.0,28.643917,77.177585,TW5267,74.8,44.792,397.2,17,0.7988,1,device_anomaly
90006,1,20001,Standard,79,2024-01-01,2024-07-18,paused,0,6,24,2,aqi,L3,342.0,2024-03-06 15:53:00,1,1,paid,2024-03-06 17:47:00,678.9,317.7,28.580306,77.311388,TW2832,54.0,77.161,547.7,48,0.1034,0,normal
90007,1,20001,Standard,79,2024-01-01,2024-07-18,paused,1,7,23,2,heat,L2,41.3,2024-04-01 14:51:00,0,1,pending,,0.0,138.8,28.59853,77.304319,TW2968,74.9,76.058,426.4,13,0.8605,1,velocity_violation
90008,1,20001,Standard,79,2024-01-01,2024-07-18,paused,0,8,22,2,aqi,L3,353.0,2024-07-02 09:21:00,1,1,paid,2024-07-02 09:38:00,591.8,143.5,28.622856,77.10697,TW3087,51.1,72.191,389.8,56,0.1598,0,normal
90009,1,20001,Standard,79,2024-01-01,2024-07-18,paused,1,9,21,2,heat,L2,40.8,2024-01-04 17:58:00,1,1,paid,2024-01-04 18:15:00,683.1,326.3,28.758478,77.311406,TW4184,86.7,49.64,668.8,15,0.4616,0,abnormal_behavior
90010,1,20001,Standard,79,2024-01-01,2024-07-18,paused,0,10,20,2,outage,L2,1.0,2024-06-22 11:59:00,1,1,paid,2024-06-22 13:24:00,668.5,297.1,28.757985,77.12089,TW8602,35.2,18.823,778.8,51,0.01,0,normal
90011,1,20001,Standard,79,2024-01-01,2024-07-18,paused,0,11,19,2,outage,L2,1.0,2024-03-13 09:15:00,0,1,paid,2024-03-13 09:26:00,190.1,352.6,28.762092,77.138897,TW1960,41.2,60.775,429.5,27,0.2499,0,normal
90012,1,20001,Standard,79,2024-01-01,2024-07-18,paused,1,12,18,2,heat,L3,46.4,2024-02-05 08:18:00,1,1,paid,2024-02-05 08:40:00,162.6,109.7,28.822305,77.201304,TW8899,34.0,75.892,797.1,37,0.01,0,normal
90013,1,20001,Standard,79,2024-01-01,2024-07-18,paused,1,13,17,2,heat,L2,40.8,2024-06-04 05:36:00,1,1,pending,,0.0,225.3,28.657388,77.046584,TW4094,51.4,40.721,393.7,25,0.1908,0,normal
90014,1,20001,Standard,79,2024-01-01,2024-07-18,paused,0,14,16,2,rainfall,L2,14.9,2024-02-03 05:39:00,1,1,pending,,0.0,398.4,28.372389,77.280629,TW7231,33.4,7.828,453.4,21,0.7788,1,abnormal_behavior
90015,1,20001,Standard,79,2024-01-01,2024-07-18,paused,0,15,15,2,heat,L2,40.9,2024-07-16 12:09:00,1,1,paid,2024-07-17 21:27:00,730.4,420.7,28.693755,77.123215,TW8283,62.9,77.756,549.2,56,0.521,0,abnormal_behavior
90016,2,20002,Standard,79,2024-01-01,2024-07-18,active,1,1,29,2,aqi,L3,328.0,2024-05-03 13:50:00,0,1,no_claim,,0.0,530.3,27.008508,75.82802,TW2878,3.5,33.283,652.1,20,0.0341,0,normal
90017,2,20002,Standard,79,2024-01-01,2024-07-18,active,1,2,28,2,aqi,L2,212.0,2024-07-07 05:39:00,1,1,no_claim,,0.0,590.0,26.927076,76.0258,TW8884,58.2,4.631,956.4,28,0.01,0,normal
90018,2,20002,Standard,79,2024-01-01,2024-07-18,active,1,3,27,2,outage,L2,1.0,2024-01-04 11:26:00,0,1,paid,2024-01-04 12:13:00,1000.9,961.7,26.803701,75.948931,TW8682,12.0,33.439,242.3,55,0.0315,0,normal
90019,2,20002,Standard,79,2024-01-01,2024-07-18,active,1,4,26,2,heat,L3,45.4,2024-04-13 00:15:00,0,1,paid,2024-04-15 04:38:00,726.5,413.1,26.885916,75.68123,TW4138,22.8,29.663,117.7,56,0.2179,0,normal
90020,2,20002,Standard,79,2024-01-01,2024-07-18,active,1,5,25,2,aqi,L2,289.0,2024-04-15 02:00:00,0,1,pending,,0.0,428.4,26.968239,75.73828,TW2435,4.0,16.979,904.1,26,0.01,0,normal
90021,2,20002,Standard,79,2024-01-01,2024-07-18,active,1,6,24,2,aqi,L2,288.0,2024-02-16 07:31:00,0,1,paid,2024-02-16 08:49:00,639.5,239.1,26.975066,75.965634,TW7160,41.1,37.961,724.8,40,0.4672,0,normal
90022,2,20002,Standard,79,2024-01-01,2024-07-18,active,1,7,23,2,aqi,L3,347.0,2024-06-18 09:07:00,0,1,paid,2024-06-18 11:07:00,628.6,217.3,27.043464,75.768028,TW9262,38.7,48.507,886.2,41,0.0813,0,normal
90023,2,20002,Standard,79,2024-01-01,2024-07-18,active,1,8,22,2,aqi,L3,406.0,2024-06-09 18:27:00,0,1,paid,2024-06-09 19:49:00,804.5,569.0,26.805261,75.683015,TW8423,5.9,52.422,913.2,9,0.1012,0,normal
90024,2,20002,Standard,79,2024-01-01,2024-07-18,active,1,9,21,2,strike,L1,1.0,2024-01-19 15:03:00,0,1,paid,2024-01-19 15:36:00,593.1,146.3,26.996928,75.850001,TW1521,81.0,63.49,212.2,44,0.086,0,normal
90025,3,20003,Standard,79,2024-01-01,2024-07-18,active,1,1,29,2,rainfall,L3,25.7,2024-06-07 05:21:00,1,1,paid,2024-06-07 08:02:00,567.1,94.3,17.38943,78.329663,TW5967,43.9,37.046,594.5,39,0.4279,0,abnormal_behavior
90026,3,20003,Standard,79,2024-01-01,2024-07-18,active,1,2,28,2,rainfall,L2,14.1,2024-05-12 10:22:00,1,1,paid,2024-05-12 13:12:00,632.3,224.6,17.466221,78.570402,TW5430,88.0,6.895,476.9,44,0.0842,0,normal
90027,3,20003,Standard,79,2024-01-01,2024-07-18,active,1,3,27,2,heat,L1,34.0,2024-07-18 01:58:00,0,0,rejected,2024-07-18 04:37:00,0.0,61.0,17.455187,78.395228,TW5989,32.9,10.806,653.1,58,0.0726,0,normal
90028,3,20003,Standard,79,2024-01-01,2024-07-18,active,1,4,26,2,heat,L1,37.2,2024-03-28 03:22:00,0,1,paid,2024-03-28 04:18:00,627.1,214.2,17.422015,78.430385,TW6836,24.7,60.413,1119.2,47,0.0318,0,normal
90029,3,20003,Standard,79,2024-01-01,2024-07-18,active,1,5,25,2,rainfall,L2,12.5,2024-05-09 15:18:00,0,1,paid,2024-05-09 16:12:00,565.2,90.4,17.398607,78.416085,TW6414,59.2,4.022,764.8,18,0.0157,0,normal
90030,3,20003,Standard,79,2024-01-01,2024-07-18,active,1,6,24,2,outage,L2,1.0,2024-04-27 13:36:00,1,1,paid,2024-04-27 15:20:00,546.9,53.8,17.225964,78.666199,TW6530,24.1,16.72,641.7,39,0.0254,0,normal
90031,3,20003,Standard,79,2024-01-01,2024-07-18,active,1,7,23,2,outage,L2,1.0,2024-04-18 13:53:00,1,1,no_claim,,0.0,38.6,17.374694,78.551108,TW3402,30.0,17.794,80.5,23,0.7619,1,device_anomaly
90032,3,20003,Standard,79,2024-01-01,2024-07-18,active,1,8,22,2,aqi,L2,239.0,2024-06-20 15:48:00,1,1,no_claim,,0.0,50.1,17.332855,78.364849,TW2382,38.8,6.73,622.8,45,0.569,0,normal
90033,3,20003,Standard,79,2024-01-01,2024-07-18,active,1,9,21,2,heat,L2,38.4,2024-04-13 06:31:00,1,1,paid,2024-04-18 01:01:00,585.0,130.0,17.535434,78.298262,TW4677,1.0,46.076,639.1,56,0.3964,0,normal
90034,3,20003,Standard,79,2024-01-01,2024-07-18,active,1,10,20,2,heat,L2,40.7,2024-02-01 11:45:00,0,1,paid,2024-02-01 13:36:00,562.4,84.8,17.42521,78.562117,TW6925,26.3,33.744,398.8,47,0.0712,0,normal
90035,3,20003,Standard,79,2024-01-01,2024-07-18,active,1,11,19,2,aqi,L2,282.0,2024-04-17 18:41:00,1,1,paid,2024-04-17 21:28:00,200.8,46.2,17.403532,78.553457,TW3899,60.0,27.964,662.2,56,0.0417,0,normal
90036,3,20003,Standard,79,2024-01-01,2024-07-18,active,1,12,18,2,flood,L3,28.0,2024-01-28 15:16:00,1,1,paid,2024-01-28 15:34:00,570.0,100.0,17.327865,78.569784,TW6285,56.1,57.434,407.3,28,0.2303,0,normal
90037,3,20003,Standard,79,2024-01-01,2024-07-18,active,1,13,17,2,rainfall,L2,5.1,2024-05-05 15:07:00,1,1,paid,2024-05-05 16:16:00,553.5,67.0,17.470429,78.523969,TW8497,83.7,9.384,1012.2,23,0.1828,0,normal
90038,3,20003,Standard,79,2024-01-01,2024-07-18,active,1,14,16,2,rainfall,L2,7.0,2024-02-19 15:36:00,0,1,no_claim,,0.0,52.2,17.465556,78.514031,TW8052,3.1,78.201,443.1,60,0.4198,0,abnormal_behavior
